sample,symbol
369,N
674,N
980,N
1284,N
1587,N
1879,N
2175,N
2475,N
2766,N
3054,N
3364,N
3674,N
3978,N
4282,N
4580,N
4883,N
5171,N
5464,N
5762,N
6057,N
6351,N
6644,N
6929,N
7215,N
7506,N
7793,N
8082,N
8378,N
8664,N
8966,N
9266,N
9565,N
9875,N
10178,N
10480,N
10789,N
11046,V
11383,N
11687,N
11991,N
12294,N
12595,N
12898,N
13199,N
13497,N
13790,N
14071,N
14359,N
14638,N
14916,N
15209,N
15497,N
15789,N
16090,N
16393,N
16701,N
17006,N
17313,N
17622,N
17933,N
18243,N
18548,N
18854,N
19157,N
19459,N
19761,N
20055,N
20360,N
20655,N
20957,N
21267,N
21566,N
21868,N
22176,N
22474,N
22777,N
23076,N
23373,N
23667,N
23968,N
24272,N
24566,N
24863,N
25169,N
25473,N
25775,N
26078,N
26375,N
26674,N
26976,N
27278,N
27575,N
27873,N
28177,N
28469,N
28767,N
29060,N
29350,N
29648,N
29947,N
30240,N
30537,N
30830,N
31121,N
31412,N
31704,N
31986,N
32272,N
32560,N
32850,N
33141,N
33429,N
33656,S
33983,N
34290,N
34578,N
34864,N
35151,N
35385,S
35700,N
35993,N
36277,N
36563,N
36843,N
37131,N
37419,N
37706,N
37931,S
38260,N
38488,V
38850,N
39146,N
39428,N
39713,N
39994,N
40284,N
40520,S
40827,N
41126,N
41413,N
41707,N
41998,N
42286,N
42582,N
42876,N
43175,N
43473,N
43766,N
44061,N
44350,N
44642,N
44935,N
45231,N
45522,N
45810,N
46111,N
46405,N
46694,N
46991,N
47284,N
47568,N
47861,N
48147,N
48429,N
48714,N
49010,N
49295,N
49589,N
49881,N
50177,N
50475,N
50776,N
51080,N
51380,N
51683,N
51989,N
52293,N
52590,N
52895,N
53201,N
53503,N
53810,N
54117,N
54420,N
54728,N
55036,N
55336,N
55639,N
55950,N
56252,N
56554,N
56863,N
57158,N
57459,N
57758,N
58051,N
58350,N
58637,N
58933,N
59228,N
59522,N
59817,N
60111,N
60396,N
60686,N
60914,S
61234,N
61528,N
61824,N
62109,N
62399,N
62692,N
62976,N
63269,N
63560,N
63851,N
64144,N
64440,N
64954,N
65276,N
65575,N
65870,N
66160,N
66446,N
66746,N
67037,N
67327,N
67625,N
67921,N
68213,N
68517,N
68821,N
69375,N
69697,N
70008,N
70319,N
70614,N
70913,N
71208,N
71505,N
71752,S
72103,N
72342,S
72717,N
73038,N
73349,N
73664,N
73970,N
74268,N
74576,N
74877,N
75169,N
75459,N
75759,N
76057,N
76356,N
76657,N
76957,N
77256,N
77559,N
77863,N
78162,N
78461,N
78769,N
79075,N
79377,N
79680,N
79980,N
80282,N
80593,N
80858,V
81190,N
81492,N
81797,N
82091,N
82385,N
82680,N
82974,N
83268,N
83560,N
83855,N
84143,N
84427,N
84716,N
85004,N
85294,N
85586,N
85875,N
86163,N
86455,N
86753,N
87035,N
87321,N
87620,N
87905,N
88203,N
88495,N
88791,N
89098,N
89398,N
89702,N
90000,N
90300,N
90612,N
90924,N
91224,N
91530,N
91838,N
92147,N
92463,N
92780,N
93093,N
93418,N
93738,N
94056,N
94355,N
94667,N
94972,N
95284,N
95580,N
95872,N
96163,N
96450,N
96744,N
97038,N
97326,N
97618,N
97914,N
98209,N
98513,N
98810,N
99025,S
99354,N
99661,N
99952,N
100242,N
100535,N
100758,S
101077,N
101384,N
101671,N
101959,N
102253,N
102488,S
102822,N
103143,N
103669,N
103997,N
104297,N
104592,N
104895,N
105188,N
105466,N
105781,N
106076,N
106376,N
106668,N
106960,N
107269,N
107565,N
107858,N
108155,N
108450,N
108741,N
109014,N
109300,N
109576,N
109814,S
110121,N
110410,N
110694,N
110978,N
111265,N
111496,S
111823,N
112124,N
112425,N
112717,N
113008,N
113313,N
113603,N
113896,N
114195,N
114489,N
114786,N
115083,N
115381,N
115680,N
115977,N
116278,N
116580,N
116881,N
117177,N
117479,N
117779,N
118067,N
118362,N
118656,N
118949,N
119254,N
119550,N
119848,N
120146,N
120454,N
120756,N
121049,N
121358,N
121656,N
121959,N
122260,N
122555,N
122856,N
123139,N
123429,N
123731,N
124015,N
124310,N
124604,N
124894,N
125194,N
125474,N
125696,S
126043,N
126350,N
126650,N
126942,N
127155,S
127470,N
127705,S
128051,N
128284,S
128621,N
128853,S
129202,N
129502,N
129796,N
130000,S
130319,N
130615,N
130905,N
131193,N
131475,N
131747,N
132027,N
132306,N
132577,N
132845,N
133122,N
133394,N
133665,N
133943,N
134223,N
134493,N
134769,N
135046,N
135312,N
135581,N
135841,N
136107,N
136370,N
136637,N
136901,N
137166,N
137431,N
137694,N
137964,N
138234,N
138500,N
138756,N
139028,N
139292,N
139554,N
139821,N
140091,N
140353,N
140616,N
140889,N
141153,N
141418,N
141653,S
141941,N
142199,N
142462,N
142720,N
142978,N
143232,N
143487,N
143740,N
143996,N
144250,N
144503,N
144750,N
145002,N
145256,N
145504,N
145759,N
146012,N
146260,N
146504,N
146759,N
147013,N
147260,N
147502,N
147749,N
147995,N
148238,N
148483,N
148729,N
148972,N
149215,N
149460,N
149706,N
149952,N
150198,N
150443,N
150682,N
150928,N
151171,N
151414,N
151654,N
151900,N
152140,N
152377,N
152614,N
152863,N
153104,N
153343,N
153581,N
153829,N
154066,N
154307,N
154553,N
154803,N
155044,N
155291,N
155536,N
155785,N
156029,N
156274,N
156515,N
156757,N
157002,N
157247,N
157489,N
157735,N
157983,N
158173,S
158457,N
158715,N
158969,N
159223,N
159473,N
159728,N
159980,N
160229,N
160483,N
160740,N
160989,N
161237,N
161485,N
161674,S
161949,N
162202,N
162450,N
162698,N
162946,N
163198,N
163454,N
163707,N
163965,N
164224,N
164478,N
164743,N
165003,N
165261,N
165518,N
165783,N
165956,V
166214,S
166529,N
166805,N
167068,N
167334,N
167601,N
167870,N
168135,N
168401,N
168665,N
168923,N
169185,N
169445,N
169708,N
169965,N
170222,N
170474,N
170740,N
170997,N
171260,N
171511,N
171776,N
172035,N
172294,N
172560,N
172824,N
173079,N
173330,N
173595,N
173848,N
174106,N
174357,N
174616,N
174864,N
175124,N
175381,N
175644,N
175895,N
176155,N
176413,N
176662,N
176941,N
177201,N
177457,N
177717,N
177888,V
178197,N
178503,N
178769,N
179030,N
179287,N
179555,N
179782,S
180073,N
180270,V
180602,N
180863,N
181122,N
181388,N
181647,N
181903,N
182162,N
182407,N
182681,N
182945,N
183200,N
183458,N
183715,N
183974,N
184187,S
184479,N
184739,N
184997,N
185254,N
185534,N
185779,N
186032,N
186283,N
186472,S
186756,N
187010,N
187269,N
187526,N
187772,N
188023,N
188274,N
188526,N
188774,N
189025,N
189273,N
189520,N
189767,N
190019,N
190267,N
190514,N
190763,N
190944,S
191222,N
191480,N
191729,N
191977,N
192225,N
192477,N
192723,N
192969,N
193221,N
193445,N
193719,N
193973,N
194237,N
194496,N
194756,N
195018,N
195285,N
195547,N
195813,N
196077,N
196344,N
196610,N
196880,N
197150,N
197422,N
197691,N
197961,N
198230,N
198502,N
198772,N
199046,N
199324,N
199600,N
199791,S
200095,N
200380,N
200575,S
200891,N
201165,N
201442,N
201715,N
201995,N
202273,N
202553,N
202835,N
203115,N
203401,N
203685,N
203965,N
204247,N
204421,V
204808,N
205089,N
205375,N
205652,N
205925,N
206210,N
206491,N
206770,N
207049,N
207335,N
207611,N
207889,N
208170,N
208444,N
208723,N
208996,N
209275,N
209552,N
209830,N
210104,N
210383,N
210660,N
210934,N
211217,N
211489,N
211755,N
212023,N
212298,N
212567,N
212832,N
213104,N
213374,N
213643,N
213917,N
214197,N
214468,N
214744,N
215023,N
215302,N
215586,N
215862,N
216142,N
